"A 시군구별",Y2022 Y2022 2022 p),Y2022 Y2022 2022 p)
"A 시군구별",T1 출생아수,T2 합계출산율
"00 전국",249000,0.780
"11 서울특별시",42500,0.590
"11010 종로구",500,0.470
"11020 중구",600,0.600
"11030 용산구",1100,0.590
"11040 성동구",1700,0.720
"11050 광진구",1300,0.460
"11060 동대문구",1500,0.620
"11070 중랑구",1900,0.660
"11080 성북구",1900,0.650
"11090 강북구",900,0.480
"11100 도봉구",1100,0.570
"11110 노원구",2200,0.720
"11120 은평구",2100,0.610
"11130 서대문구",1400,0.610
"11140 마포구",1800,0.530
"11150 양천구",1700,0.610
"11160 강서구",2900,0.590
"11170 구로구",2100,0.690
"11180 금천구",1000,0.590
"11190 영등포구",2300,0.670
"11200 동작구",1700,0.570
"11210 관악구",1600,0.420
"11220 서초구",1900,0.600
"11230 강남구",2000,0.490
"11240 송파구",3300,0.600
"11250 강동구",2500,0.720
"21 부산광역시",14100,0.720
"21010 중구",100,0.460
"21020 서구",300,0.650
"21030 동구",400,0.740
"21040 영도구",300,0.690
"21050 부산진구",1500,0.630
"21060 동래구",1300,0.820
"21070 남구",800,0.620
"21080 북구",1300,0.820
"21090 해운대구",1500,0.680
"21100 사하구",1200,0.730
"21110 금정구",700,0.580
"21120 강서구",1300,1.180
"21130 연제구",900,0.740
"21140 수영구",800,0.640
"21150 사상구",700,0.610
"21310 기장군",1000,0.960
"22 대구광역시",10100,0.760
"22010 중구",400,0.810
"22020 동구",1600,0.800
"22030 서구",300,0.460
"22040 남구",400,0.500
"22050 북구",2000,0.800
"22060 수성구",1400,0.690
"22070 달서구",2000,0.680
"22310 달성군",2000,1.140
"23 인천광역시",14500,0.750
"23010 중구",800,0.800
"23020 동구",200,0.680
"23030 남구",,
"23040 연수구",2300,0.850
"23050 남동구",2200,0.660
"23060 부평구",2200,0.670
"23070 계양구",1200,0.630
"23080 서구",3500,0.870
"23310 강화군",300,1.120
"23320 옹진군",100,1.000
"23090 미추홀구",1800,0.670
"24 광주광역시",7400,0.840
"24010 동구",600,0.960
"24020 서구",1200,0.700
"24030 남구",1000,0.810
"24040 북구",2200,0.850
"24050 광산구",2300,0.930
"25 대전광역시",7700,0.840
"25010 동구",900,0.790
"25020 중구",900,0.710
"25030 서구",2600,0.800
"25040 유성구",2500,0.960
"25050 대덕구",800,0.910
"26 울산광역시",5400,0.850
"26010 중구",700,0.650
"26020 남구",1500,0.800
"26030 동구",600,0.730
"26040 북구",1400,1.010
"26310 울주군",1100,1.030
"29 세종특별자치시",3200,1.120
"29010 세종시",3200,1.120
"31 경기도",75300,0.840
"31010 수원시",6600,0.760
"31011 장안구",1000,0.650
"31012 권선구",2100,0.800
"31013 팔달구",900,0.680
"31014 영통구",2400,0.830
"31020 성남시",5000,0.760
"31021 수정구",1300,0.800
"31022 중원구",1000,0.700
"31023 분당구",2700,0.770
"31030 의정부시",2300,0.760
"31040 안양시",3400,0.900
"31041 만안구",1300,0.840
"31042 동안구",2100,0.940
"31050 부천시",3800,0.700
"31051 원미구",,
"31052 소사구",,
"31053 오정구",,
"31060 광명시",1500,0.810
"31070 평택시",3900,1.030
"31080 동두천시",400,0.760
"31090 안산시",3300,0.810
"31091 상록구",1500,0.720
"31092 단원구",1700,0.900
"31100 고양시",5600,0.790
"31101 덕양구",3000,0.890
"31102 일산구",,
"31103 일산동구",1300,0.650
"31104 일산서구",1300,0.740
"31110 과천시",600,1.020
"31120 구리시",900,0.730
"31130 남양주시",3600,0.820
"31140 오산시",1300,0.830
"31150 시흥시",3200,0.930
"31160 군포시",1500,0.860
"31170 의왕시",900,0.850
"31180 하남시",2300,0.890
"31190 용인시",5700,0.840
"31191 처인구",1200,0.810
"31192 기흥구",2400,0.860
"31193 수지구",2100,0.830
"31200 파주시",2700,0.860
"31210 이천시",1200,0.860
"31220 안성시",800,0.850
"31230 김포시",3200,0.930
"31240 화성시",6500,0.970
"31250 광주시",2200,0.880
"31260 양주시",1200,0.900
"31270 포천시",500,0.820
"31280 여주시",500,0.900
"31310 양주군",,
"31320 여주군",,
"31330 화성군",,
"31340 광주군",,
"31350 연천군",200,1.050
"31360 포천군",,
"31370 가평군",200,0.810
"31380 양평군",500,0.920
"32 강원도",7300,0.970
"32010 춘천시",1500,0.900
"32020 원주시",2100,0.940
"32030 강릉시",900,0.910
"32040 동해시",400,0.980
"32050 태백시",100,0.920
"32060 속초시",400,0.910
"32070 삼척시",300,1.260
"32310 홍천군",300,1.030
"32320 횡성군",100,0.850
"32330 영월군",100,0.870
"32340 평창군",100,0.770
"32350 정선군",100,0.830
"32360 철원군",300,1.390
"32370 화천군",200,1.400
