Sgis_code,birth,TFR
11010,500,0.470
11020,600,0.600
11030,1100,0.590
11040,1700,0.720
11050,1300,0.460
11060,1500,0.620
11070,1900,0.660
11080,1900,0.650
11090,900,0.480
11100,1100,0.570
11110,2200,0.720
11120,2100,0.610
11130,1400,0.610
11140,1800,0.530
11150,1700,0.610
11160,2900,0.590
11170,2100,0.690
11180,1000,0.590
11190,2300,0.670
11200,1700,0.570
11210,1600,0.420
11220,1900,0.600
11230,2000,0.490
11240,3300,0.600
11250,2500,0.720
21010,100,0.460
21020,300,0.650
21030,400,0.740
21040,300,0.690
21050,1500,0.630
21060,1300,0.820
21070,800,0.620
21080,1300,0.820
21090,1500,0.680
21100,1200,0.730
21110,700,0.580
21120,1300,1.180
21130,900,0.740
21140,800,0.640
21150,700,0.610
21510,1000,0.960
22010,400,0.810
22020,1600,0.800
22030,300,0.460
22040,400,0.500
22050,2000,0.800
22060,1400,0.690
22070,2000,0.680
22510,2000,1.140
23010,800,0.800
23020,200,0.680
23040,2300,0.850
23050,2200,0.660
23060,2200,0.670
23070,1200,0.630
23080,3500,0.870
23510,300,1.120
23520,100,1.000
23090,1800,0.670
24010,600,0.960
24020,1200,0.700
24030,1000,0.810
24040,2200,0.850
24050,2300,0.930
25010,900,0.790
25020,900,0.710
25030,2600,0.800
25040,2500,0.960
25050,800,0.910
26010,700,0.650
26020,1500,0.800
26030,600,0.730
26040,1400,1.010
26510,1100,1.030
29010,3200,1.120
31011,6600,0.760
31021,5000,0.760
31030,2300,0.760
31041,3400,0.900
31050,3800,0.700
31060,1500,0.810
31070,3900,1.030
31080,400,0.760
31091,3300,0.810
31101,5600,0.790
31110,600,1.020
31120,900,0.730
31130,3600,0.820
31140,1300,0.830
31150,3200,0.930
31160,1500,0.860
31170,900,0.850
31180,2300,0.890
31191,5700,0.840
31200,2700,0.860
31210,1200,0.860
31220,800,0.850
31230,3200,0.930
31240,6500,0.970
31250,2200,0.880
31260,1200,0.900
31270,500,0.820
31280,500,0.900
31550,200,1.050
31570,200,0.810
31580,500,0.920
32010,1500,0.900
32020,2100,0.940
32030,900,0.910
32040,400,0.980
32050,100,0.920
32060,400,0.910
32070,300,1.260
32510,300,1.030
32520,100,0.850
32530,100,0.870
32540,100,0.770
32550,100,0.830
32560,300,1.390
32570,200,1.400
32580,100,1.440
32590,200,1.310
32600,100,1.100
32610,100,0.880
33020,900,0.880
33030,500,0.830
33041,4700,0.860
33520,100,0.960
33530,100,0.720
33540,100,0.980
33550,500,1.110
33560,100,0.800
33570,300,0.820
33580,100,0.740
33590,200,0.880
34011,3900,0.840
34020,300,0.830
34030,400,0.970
34040,1900,0.910
34050,1000,1.210
34060,400,0.880
34070,200,0.890
34080,900,1.110
34510,100,0.870
34530,100,0.750
34540,100,0.960
34550,100,0.900
34560,400,0.920
34570,200,0.830
34580,200,0.890
35011,2900,0.730
35020,1100,0.880
35030,1000,0.770
35040,400,0.900
35050,300,0.960
35060,300,1.190
35510,400,0.870
35520,100,1.180
35530,100,0.850
35540,100,0.970
35550,100,1.550
35560,100,0.820
35570,200,0.950
35580,100,0.880
36010,800,0.740
36020,1300,0.950
36030,1500,0.970
36040,700,1.030
36060,900,1.060
36510,100,0.860
36520,0,0.550
36530,100,0.940
36550,200,1.100
36560,100,0.790
36570,200,0.740
36580,100,1.140
36590,100,0.890
36600,200,1.040
36610,200,0.940
36620,500,1.010
36630,100,0.880
36640,400,1.810
36650,100,0.830
36660,200,1.130
36670,100,1.100
36680,100,1.300
37011,2200,0.890
37020,1000,0.890
37030,800,1.160
37040,700,0.970
37050,2200,0.820
37060,300,0.960
37070,500,1.310
37080,300,1.070
37090,300,1.110
37100,1300,0.870
37510,100,1.490
37520,200,1.460
37530,100,1.210
37540,0,0.700
37550,100,1.140
37560,100,0.990
37570,100,0.970
37580,200,1.190
37590,400,0.720
37600,300,1.170
37610,100,1.030
37620,200,1.050
37630,0,0.640
38030,1800,0.940
38050,400,0.760
38060,500,1.010
38070,2500,0.840
38080,300,0.870
38090,1000,0.780
38100,1700,0.820
38111,4800,0.820
38510,100,1.020
38520,200,0.700
38530,200,0.800
38540,100,0.660
38550,100,0.940
38560,100,0.880
38570,100,0.690
38580,100,0.680
38590,200,0.840
38600,100,1.000
39010,2800,0.930
39020,800,0.900
